1 , 1 , inf , 32

2 , 1 , inf , 32

3 , 1 , inf , 32

4 , 1 , inf , 32

5 , 1 , inf , 32

6 , 1 , inf , 32

1 , 2 , 268435456.000000 , 128

2 , 2 , 268435456.000000 , 128

3 , 2 , 134217728.000000 , 128

4 , 2 , 268435456.000000 , 128

5 , 2 , 134217728.000000 , 128

6 , 2 , 268435456.000000 , 128

1 , 3 , 306783378.285714 , 512

2 , 3 , 330382099.692308 , 512

3 , 3 , 184729776.172043 , 512

4 , 3 , 572662306.133333 , 512

5 , 3 , 182764565.787234 , 512

6 , 3 , 188789771.252747 , 512

1 , 4 , 102071261.397698 , 2048

2 , 4 , 105977024.363952 , 2048

3 , 4 , 88720376.646171 , 2048

4 , 4 , 626859536.930445 , 2048

5 , 4 , 68745256.207078 , 2048

6 , 4 , 67887850.566560 , 2048
