STATE/UT,YEAR,CAUSE,CASES,January,February,March,April,May,June,July,August,September,October,November,December
Manipur,2014,Railway Crossing_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Total Traffic_Cases,735,61,59,66,59,62,49,49,53,73,72,59,73
Meghalaya,2014,Road Accident_Cases,301,30,27,20,25,27,28,29,24,26,22,19,24
Meghalaya,2014,Railway Accident_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,Railway Crossing_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,Total Traffic_Cases,301,30,27,20,25,27,28,29,24,26,22,19,24
Mizoram,2014,Road Accident_Cases,95,10,6,15,10,11,4,10,5,6,3,7,8
Mizoram,2014,Railway Accident_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Railway Crossing_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Total Traffic_Cases,95,10,6,15,10,11,4,10,5,6,3,7,8
Nagaland,2014,Road Accident_Cases,28,3,2,2,4,2,0,1,3,0,4,0,7
Nagaland,2014,Railway Accident_Cases,11,1,0,1,2,1,1,0,3,0,1,1,0
Nagaland,2014,Railway Crossing_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,Total Traffic_Cases,39,4,2,3,6,3,1,1,6,0,5,1,7
Odisha,2014,Road Accident_Cases,9640,896,826,851,726,852,828,756,693,660,776,854,922
Odisha,2014,Railway Accident_Cases,246,21,24,28,19,17,19,20,16,20,22,22,18
Odisha,2014,Railway Crossing_Cases,128,9,10,6,11,13,19,12,15,8,6,9,10
Odisha,2014,Total Traffic_Cases,10014,926,860,885,756,882,866,788,724,688,804,885,950
Punjab,2014,Road Accident_Cases,6391,495,493,555,524,563,535,491,519,489,568,595,564
Punjab,2014,Railway Accident_Cases,1047,85,64,88,87,99,102,112,89,89,98,62,72
Punjab,2014,Railway Crossing_Cases,4,1,0,0,1,0,1,0,1,0,0,0,0
Punjab,2014,Total Traffic_Cases,7442,581,557,643,612,662,638,603,609,578,666,657,636
Rajasthan,2014,Road Accident_Cases,24639,2143,1951,2130,2053,2484,2213,1976,1888,1839,2035,2104,1823
Rajasthan,2014,Railway Accident_Cases,734,48,56,62,59,76,97,67,67,47,64,57,34
Rajasthan,2014,Railway Crossing_Cases,24,2,2,0,3,5,2,1,2,2,2,0,3
Rajasthan,2014,Total Traffic_Cases,25397,2193,2009,2192,2115,2565,2312,2044,1957,1888,2101,2161,1860
Sikkim,2014,Road Accident_Cases,130,9,6,15,13,13,11,14,11,19,6,9,4
Sikkim,2014,Railway Accident_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2014,Railway Crossing_Cases,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,2014,Total Traffic_Cases,130,9,6,15,13,13,11,14,11,19,6,9,4
